npi,kmeans_cluster
1,1
2,3
3,5
4,4
5,4
6,3
7,5
8,4
9,1
10,2
11,1
12,4
13,4
14,5
15,4
16,1
17,2
18,4
19,2
20,5
21,4
22,4
23,4
24,4
25,5
26,4
27,2
28,4
29,4
30,2
31,4
32,2
33,4
34,1
35,2
36,4
37,4
38,4
39,4
40,1
41,1
42,4
43,4
44,1
45,4
46,4
47,1
48,4
49,4
50,4
51,3
52,4
53,1
54,1
55,4
56,2
57,4
58,4
59,5
60,1
61,4
62,5
63,2
64,4
65,4
66,5
67,5
68,3
69,1
70,5
71,5
72,4
73,4
74,4
75,5
76,5
77,4
78,2
79,4
80,4
81,2
82,4
83,5
84,3
85,4
86,4
87,1
88,4
89,5
90,1
91,5
92,4
93,1
94,4
95,4
96,5
97,4
98,4
99,2
100,4
101,4
102,3
103,2
104,4
105,4
106,4
107,5
108,1
109,4
110,2
111,4
112,5
113,4
114,3
115,5
116,4
117,4
118,2
119,2
120,1
121,2
122,2
123,2
124,5
125,3
126,2
127,2
128,2
129,4
130,4
131,4
132,4
133,2
134,5
135,5
136,1
137,5
138,4
139,2
140,2
141,5
142,4
143,4
144,4
145,4
146,1
147,4
148,4
149,4
150,2
151,4
152,5
153,5
154,4
155,1
156,4
157,4
158,4
159,2
160,4
161,2
162,4
163,4
164,4
165,4
166,3
167,4
168,2
169,5
170,1
171,4
172,4
173,4
174,4
175,4
176,1
177,3
178,4
179,4
180,4
181,1
182,5
183,5
184,4
185,2
186,4
187,1
188,4
189,2
190,4
191,4
192,4
193,4
194,2
195,4
196,1
197,2
198,5
199,4
200,5
201,3
202,5
203,1
204,4
205,4
206,1
207,5
208,2
209,4
210,2
211,1
212,1
213,1
214,5
215,1
216,5
217,4
218,1
219,3
220,2
221,1
222,4
223,2
224,4
225,4
226,4
227,2
228,1
229,2
230,1
231,4
232,5
233,2
234,4
235,4
236,5
237,4
238,4
239,4
240,4
241,1
242,3
243,2
244,4
245,5
246,1
247,5
248,3
249,2
250,4
251,4
252,4
253,2
254,2
255,4
256,5
257,2
258,4
259,5
260,4
261,5
262,4
263,4
264,2
265,4
266,2
267,4
268,4
269,2
270,5
271,2
272,4
273,5
274,4
275,5
276,4
277,4
278,2
279,5
280,4
281,4
282,4
283,4
284,4
285,4
